,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
8,5426,Solana,SOL,solana,327,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,341911443.5438816,511616946.142289,,9,,,2022-06-10T14:52:00.000Z,38.43620106932509,1199450798.5100062,-1.0336,1.41192632,-4.56747181,1.27363207,-34.18349274,-62.26135348,-52.64835967,13141776991.955826,1.0822,19664611812.4,2022-06-10T14:52:00.000Z,,,,,,2022-06-10 15:53:18.973282
9,74,Dogecoin,DOGE,dogecoin,483,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,,10,,,2022-06-10T14:53:00.000Z,0.07724627389568393,391193713.98162925,45.4632,0.91942765,-3.22749491,-3.57330188,-19.06463821,-45.08332704,-33.28695269,10248322197.059345,0.8434,10248322197.06,2022-06-10T14:53:00.000Z,,,,,,2022-06-10 15:53:18.973282
10,6636,Polkadot,DOT,polkadot-new,351,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,,11,904869778.0,8065253256.2174425,2022-06-10T14:53:00.000Z,8.913164581586283,456634629.6903135,34.0778,1.9683949,-3.99170855,-4.16597907,-13.07781784,-49.90475316,-50.43153358,8802456971.582735,0.7249,9833925423.87,2022-06-10T14:53:00.000Z,2502.0,Huobi Token,HT,huobi-token,0xa2c49cee16a5e5bdefde931107dc1fae9f7773e3,2022-06-10 15:53:18.973282
11,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,448,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem']",,273401.60490986,273401.60490986,,12,,,2022-06-10T14:52:00.000Z,29588.227016292578,238971633.27554497,3.9078,0.5708778,-1.93414348,0.45525446,-6.1363451,-27.60454497,-23.86326625,8089468752.691669,0.666,8089468752.69,2022-06-10T14:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2022-06-10 15:53:18.973282
12,1958,TRON,TRX,tron,618,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'bnb-chain']",,92791257179.18962,92791285063.07668,,13,71659659264.0,5735226067.723953,2022-06-10T14:52:00.000Z,0.08003423581174053,741398258.7830855,7.0024,0.17816257,-1.14319248,-0.8437651,1.02069139,35.6003834,33.92117565,7426477358.347123,0.6113,7426479590.01,2022-06-10T14:52:00.000Z,,,,,,2022-06-10 15:53:18.973282
13,4943,Dai,DAI,multi-collateral-dai,992,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,6995705506.265276,6995705506.265276,,14,,,2022-06-10T14:53:00.000Z,1.0003893172170077,212709939.17864582,36.1886,0.03710024,0.03405837,0.07647823,-0.01926713,0.11238505,0.0484866,6998429054.863981,0.5762,6998429054.86,2022-06-10T14:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2022-06-10 15:53:18.973282
14,5805,Avalanche,AVAX,avalanche,266,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",720000000.0,280965771.39049345,404229626.49901325,,15,,,2022-06-10T14:52:00.000Z,23.272511717684782,505541229.2725183,-21.0502,1.34335977,-5.89554139,2.28050388,-35.29536149,-69.44533543,-67.60174597,6538779206.953603,0.5383,16756208436.73,2022-06-10T14:52:00.000Z,1839.0,BNB,BNB,bnb,0x1ce0c2827e2ef14d5c4f29a091d735a204794041,2022-06-10 15:53:18.973282
0,1,Bitcoin,BTC,bitcoin,9528,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio']",21000000.0,19063825.0,19063825.0,,1,,,2022-06-10T16:02:00.000Z,29450.46477679528,25869026861.511753,16.4637,-0.40690273,-2.79501653,-0.19210569,-4.88982332,-27.58227681,-24.62507639,561438506673.4893,46.4985,618459760312.7,2022-06-10T16:02:00.000Z,,,,,,2022-06-10 17:03:12.388059
1,1027,Ethereum,ETH,ethereum,5745,2015-08-07T00:00:00.000Z,"['mineable', 'pow', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'bnb-chain']",,121120564.374,121120564.374,,2,,,2022-06-10T16:01:00.000Z,1729.3724420882138,15151066887.361132,19.5154,-0.61115551,-3.84107785,-1.93252283,-23.77540097,-42.5945361,-33.11226427,209462566198.56708,17.3477,209462566198.57,2022-06-10T16:01:00.000Z,,,,,,2022-06-10 17:03:12.388059
2,825,Tether,USDT,tether,34564,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin']",,72497481448.78677,79710622660.05101,,3,,,2022-06-10T16:01:00.000Z,0.9993264384148663,44363727446.83718,3.1218,0.00192801,-0.00914659,0.00393018,0.04301977,-0.10230688,-0.07592868,72448649930.26393,6.0002,79656932646.7,2022-06-10T16:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2022-06-10 17:03:12.388059
3,3408,USD Coin,USDC,usd-coin,4355,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin']",,53757888070.345085,53757888070.345085,,4,,,2022-06-10T16:01:00.000Z,1.0000269114318487,3914741442.164655,11.9666,0.00611587,-0.01117292,-0.01304124,0.03079369,0.03584233,0.0003085,53759334772.08622,4.4544,53759334772.09,2022-06-10T16:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2022-06-10 17:03:12.388059
